,0,1,2
largeGathering,12.0,14.0,18.0
dorm,175.0,127.0,138.0
classroom,61.0,53.0,58.0
dining,19.0,13.0,18.0
library,11.0,11.0,12.0
gym,27.0,23.0,24.0
social,186.0,130.0,137.0
transit,0.0,0.0,0.0
offCampus,5.0,9.0,7.0
office,0.0,1.0,0.0
total,506.0,389.0,422.0
max,53.0,51.0,45.0
